n,s,t,ex(n;Kst),count,last_ops,structures
7,3,3,15,1,product,"P(1,1,S(P(1,1),P(1,1,1)))"
7,3,4,17,1,product,"P(1,1,S(1,P(1,1,1,1)))"
7,3,5,21,1,product,"P(1,1,1,1,1,1,1)"
7,3,6,21,1,product,"P(1,1,1,1,1,1,1)"
7,3,7,21,1,product,"P(1,1,1,1,1,1,1)"
7,3,8,21,1,product,"P(1,1,1,1,1,1,1)"
7,3,9,21,1,product,"P(1,1,1,1,1,1,1)"
7,3,10,21,1,product,"P(1,1,1,1,1,1,1)"
7,3,11,21,1,product,"P(1,1,1,1,1,1,1)"
7,3,12,21,1,product,"P(1,1,1,1,1,1,1)"
7,4,4,21,1,product,"P(1,1,1,1,1,1,1)"
7,4,5,21,1,product,"P(1,1,1,1,1,1,1)"
7,4,6,21,1,product,"P(1,1,1,1,1,1,1)"
7,4,7,21,1,product,"P(1,1,1,1,1,1,1)"
7,4,8,21,1,product,"P(1,1,1,1,1,1,1)"
7,4,9,21,1,product,"P(1,1,1,1,1,1,1)"
7,4,10,21,1,product,"P(1,1,1,1,1,1,1)"
7,4,11,21,1,product,"P(1,1,1,1,1,1,1)"
7,4,12,21,1,product,"P(1,1,1,1,1,1,1)"
7,5,5,21,1,product,"P(1,1,1,1,1,1,1)"
7,5,6,21,1,product,"P(1,1,1,1,1,1,1)"
7,5,7,21,1,product,"P(1,1,1,1,1,1,1)"
7,5,8,21,1,product,"P(1,1,1,1,1,1,1)"
7,5,9,21,1,product,"P(1,1,1,1,1,1,1)"
7,5,10,21,1,product,"P(1,1,1,1,1,1,1)"
7,5,11,21,1,product,"P(1,1,1,1,1,1,1)"
7,5,12,21,1,product,"P(1,1,1,1,1,1,1)"
7,6,6,21,1,product,"P(1,1,1,1,1,1,1)"
7,6,7,21,1,product,"P(1,1,1,1,1,1,1)"
7,6,8,21,1,product,"P(1,1,1,1,1,1,1)"
7,6,9,21,1,product,"P(1,1,1,1,1,1,1)"
7,6,10,21,1,product,"P(1,1,1,1,1,1,1)"
7,6,11,21,1,product,"P(1,1,1,1,1,1,1)"
7,6,12,21,1,product,"P(1,1,1,1,1,1,1)"
7,7,7,21,1,product,"P(1,1,1,1,1,1,1)"
7,7,8,21,1,product,"P(1,1,1,1,1,1,1)"
7,7,9,21,1,product,"P(1,1,1,1,1,1,1)"
7,7,10,21,1,product,"P(1,1,1,1,1,1,1)"
7,7,11,21,1,product,"P(1,1,1,1,1,1,1)"
7,7,12,21,1,product,"P(1,1,1,1,1,1,1)"
7,8,8,21,1,product,"P(1,1,1,1,1,1,1)"
7,8,9,21,1,product,"P(1,1,1,1,1,1,1)"
7,8,10,21,1,product,"P(1,1,1,1,1,1,1)"
7,8,11,21,1,product,"P(1,1,1,1,1,1,1)"
7,8,12,21,1,product,"P(1,1,1,1,1,1,1)"
7,9,9,21,1,product,"P(1,1,1,1,1,1,1)"
7,9,10,21,1,product,"P(1,1,1,1,1,1,1)"
7,9,11,21,1,product,"P(1,1,1,1,1,1,1)"
7,9,12,21,1,product,"P(1,1,1,1,1,1,1)"
7,10,10,21,1,product,"P(1,1,1,1,1,1,1)"
7,10,11,21,1,product,"P(1,1,1,1,1,1,1)"
7,10,12,21,1,product,"P(1,1,1,1,1,1,1)"
7,11,11,21,1,product,"P(1,1,1,1,1,1,1)"
7,11,12,21,1,product,"P(1,1,1,1,1,1,1)"
7,12,12,21,1,product,"P(1,1,1,1,1,1,1)"
8,1,1,0,1,sum,"S(1,1,1,1,1,1,1,1)"
8,1,2,4,1,sum,"S(P(1,1),P(1,1),P(1,1),P(1,1))"
8,1,3,8,1,sum,"S(P(S(1,1),S(1,1)),P(S(1,1),S(1,1)))"
8,1,4,12,1,sum,"S(P(1,1,1,1),P(1,1,1,1))"
